Datekey;ProviderId;Hour;WindSpeed;WindDirection;Temperature;Pressure;Humidity;PowerWOAvailability
20200101;2;00:00;NULL;NULL;NULL;NULL;NULL;0.354
20200101;2;01:00;NULL;NULL;NULL;NULL;NULL;0.357
20200101;2;02:00;NULL;NULL;NULL;NULL;NULL;0.418
20200101;2;03:00;NULL;NULL;NULL;NULL;NULL;0.746
20200101;2;04:00;NULL;NULL;NULL;NULL;NULL;1.348
20200101;2;05:00;NULL;NULL;NULL;NULL;NULL;2.702
20200101;2;06:00;NULL;NULL;NULL;NULL;NULL;7.236
20200101;2;07:00;NULL;NULL;NULL;NULL;NULL;9.660
20200101;2;08:00;NULL;NULL;NULL;NULL;NULL;12.692
20200101;2;09:00;NULL;NULL;NULL;NULL;NULL;12.251
20200101;2;10:00;NULL;NULL;NULL;NULL;NULL;12.480
20200101;2;11:00;NULL;NULL;NULL;NULL;NULL;18.808
20200101;2;12:00;NULL;NULL;NULL;NULL;NULL;30.412
20200101;2;13:00;NULL;NULL;NULL;NULL;NULL;41.595
20200101;2;14:00;NULL;NULL;NULL;NULL;NULL;48.675
20200101;2;15:00;NULL;NULL;NULL;NULL;NULL;51.074
20200101;2;16:00;NULL;NULL;NULL;NULL;NULL;52.289
20200101;2;17:00;NULL;NULL;NULL;NULL;NULL;53.363
20200101;2;18:00;NULL;NULL;NULL;NULL;NULL;53.597
20200101;2;19:00;NULL;NULL;NULL;NULL;NULL;53.655
20200101;2;20:00;NULL;NULL;NULL;NULL;NULL;53.691
20200101;2;21:00;NULL;NULL;NULL;NULL;NULL;53.741
20200101;2;22:00;NULL;NULL;NULL;NULL;NULL;53.679
20200101;2;23:00;NULL;NULL;NULL;NULL;NULL;53.862
20200102;2;00:00;NULL;NULL;NULL;NULL;NULL;53.316
20200102;2;01:00;NULL;NULL;NULL;NULL;NULL;53.434
20200102;2;02:00;NULL;NULL;NULL;NULL;NULL;53.523
20200102;2;03:00;NULL;NULL;NULL;NULL;NULL;53.184
20200102;2;04:00;NULL;NULL;NULL;NULL;NULL;52.373
20200102;2;05:00;NULL;NULL;NULL;NULL;NULL;50.626
