Datekey;ProviderId;Hour;WindSpeed;WindDirection;Temperature;Pressure;Humidity;PowerWOAvailability
20200101;1;00:00;2.00;317.00;5.30;100944;80.570;1.398
20200101;1;01:00;1.90;284.00;5.10;100920;79.700;1.992
20200101;1;02:00;2.00;270.00;4.80;100895;78.840;2.285
20200101;1;03:00;2.20;273.00;4.60;100875;77.980;5.529
20200101;1;04:00;2.20;282.00;4.40;100857;75.210;5.284
20200101;1;05:00;2.20;276.00;4.20;100808;72.440;5.097
20200101;1;06:00;2.40;284.00;4.00;100753;69.670;8.811
20200101;1;07:00;3.10;301.00;3.90;100739;70.860;7.435
20200101;1;08:00;4.10;323.00;3.80;100736;72.050;10.561
20200101;1;09:00;4.20;335.00;4.00;100775;73.240;11.615
20200101;1;10:00;4.10;350.00;4.30;100807;77.140;13.747
20200101;1;11:00;5.40;8.00;5.00;100836;81.050;24.529
20200101;1;12:00;6.60;10.00;5.20;100868;84.950;34.537
20200101;1;13:00;7.00;10.00;5.40;100867;82.510;31.113
20200101;1;14:00;8.00;17.00;5.70;100854;80.070;40.550
20200101;1;15:00;8.50;22.00;5.90;100835;77.630;44.378
20200101;1;16:00;9.10;23.00;5.90;100859;74.710;47.890
20200101;1;17:00;10.00;23.00;5.80;100927;71.800;53.276
20200101;1;18:00;11.60;22.00;5.90;100992;68.890;54.720
20200101;1;19:00;11.60;20.00;5.80;101064;69.780;54.731
20200101;1;20:00;11.90;20.00;5.70;101128;70.670;54.804
20200101;1;21:00;12.40;20.00;5.50;101165;71.560;54.913
20200101;1;22:00;12.40;20.00;5.50;101178;73.920;54.900
20200101;1;23:00;12.50;20.00;5.40;101187;76.280;54.912
20200102;1;00:00;11.90;13.00;4.90;101226;71.050;54.536
20200102;1;01:00;11.90;12.00;4.80;101226;73.450;54.694
20200102;1;02:00;11.80;10.00;4.70;101218;75.850;54.805
20200102;1;03:00;11.80;19.00;4.60;101215;78.240;54.838
20200102;1;04:00;11.80;23.00;4.70;101199;77.370;54.974
20200102;1;05:00;11.00;22.00;4.70;101151;76.490;54.718
20200102;1;06:00;10.60;31.00;4.70;101100;75.620;54.683
20200102;1;07:00;10.40;28.00;4.70;101083;78.640;54.576
20200102;1;08:00;11.10;28.00;4.80;101073;81.660;54.478
20200102;1;09:00;11.90;34.00;4.90;101103;84.670;54.630
20200102;1;10:00;11.40;36.00;5.20;101117;83.940;54.337
